Company,TypeName,Inches,CPU_Company,CPU_Frequency (GHz),RAM (GB),GPU_Company,OpSys,Weight (kg),screen_x_size,screen_y_size,Touch_screen,IPS,Full_HD,4k_Ultra_HD,Quad_HD,Screen_Resolution_NA,Price,SSD,HDD,Flash_Storage
Apple,Ultrabook,13.3,Intel,2.3,8,Intel,macOS,1.37,2560,1600,0,1,0,0,0,0,1339.69,1,0,0
Apple,Ultrabook,13.3,Intel,1.8,8,Intel,macOS,1.34,1440,900,0,0,0,0,0,1,898.94,0,0,1
HP,Notebook,15.6,Intel,2.5,8,Intel,No OS,1.86,1920,1080,0,0,1,0,0,0,575.0,1,0,0
Apple,Ultrabook,15.4,Intel,2.7,16,AMD,macOS,1.83,2880,1800,0,1,0,0,0,0,2537.45,1,0,0
Apple,Ultrabook,13.3,Intel,3.1,8,Intel,macOS,1.37,2560,1600,0,1,0,0,0,0,1803.6,1,0,0
Acer,Notebook,15.6,AMD,3.0,4,AMD,Windows 10,2.1,1366,768,0,0,0,0,0,1,400.0,0,1,0
Apple,Ultrabook,15.4,Intel,2.2,16,Intel,Mac OS X,2.04,2880,1800,0,1,0,0,0,0,2139.97,0,0,1
Apple,Ultrabook,13.3,Intel,1.8,8,Intel,macOS,1.34,1440,900,0,0,0,0,0,1,1158.7,0,0,1
Asus,Ultrabook,14.0,Intel,1.8,16,Nvidia,Windows 10,1.3,1920,1080,0,0,1,0,0,0,1495.0,1,0,0
Acer,Ultrabook,14.0,Intel,1.6,8,Intel,Windows 10,1.6,1920,1080,0,1,0,0,0,0,770.0,1,0,0
HP,Notebook,15.6,Intel,2.5,4,Intel,No OS,1.86,1366,768,0,0,0,0,0,1,393.9,0,1,0
HP,Notebook,15.6,Intel,2.0,4,Intel,No OS,1.86,1920,1080,0,0,1,0,0,0,344.99,0,1,0
Apple,Ultrabook,15.4,Intel,2.8,16,AMD,macOS,1.83,2880,1800,0,1,0,0,0,0,2439.97,1,0,0
Dell,Notebook,15.6,Intel,2.0,4,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,498.9,1,0,0
Apple,Ultrabook,12.0,Intel,1.2,8,Intel,macOS,0.92,2304,1440,0,1,0,0,0,0,1262.4,1,0,0
Apple,Ultrabook,13.3,Intel,2.3,8,Intel,macOS,1.37,2560,1600,0,1,0,0,0,0,1518.55,1,0,0
Dell,Notebook,15.6,Intel,2.7,8,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,745.0,1,0,0
Apple,Ultrabook,15.4,Intel,2.9,16,AMD,macOS,1.83,2880,1800,0,1,0,0,0,0,2858.0,1,0,0
Lenovo,Notebook,15.6,Intel,2.4,8,Nvidia,No OS,2.2,1920,1080,0,0,1,0,0,0,499.0,0,1,0
Dell,Ultrabook,13.3,Intel,1.6,8,Intel,Windows 10,1.22,1920,1080,1,1,0,0,0,0,979.0,1,0,0
Asus,Netbook,11.6,Intel,1.44,2,Intel,Windows 10,0.98,1366,768,0,0,0,0,0,1,191.9,0,0,1
Lenovo,Gaming,15.6,Intel,2.5,8,Nvidia,Windows 10,2.5,1920,1080,0,1,0,0,0,0,999.0,1,1,0
HP,Notebook,15.6,AMD,1.5,4,AMD,No OS,1.86,1366,768,0,0,0,0,0,1,258.0,0,1,0
Dell,2 in 1 Convertible,13.3,Intel,1.6,8,Intel,Windows 10,1.62,1920,1080,1,0,0,0,0,0,819.0,1,0,0
HP,Ultrabook,15.6,Intel,1.8,8,Intel,Windows 10,1.91,1920,1080,0,0,1,0,0,0,659.0,1,0,0
Dell,Notebook,15.6,Intel,2.0,4,Intel,Windows 10,2.3,1366,768,0,0,0,0,0,1,418.64,0,1,0
Apple,Ultrabook,13.3,Intel,1.6,8,Intel,Mac OS X,1.35,1440,900,0,0,0,0,0,1,1099.0,0,0,1
Dell,Notebook,15.6,Intel,1.6,8,AMD,Windows 10,2.2,1920,1080,0,0,1,0,0,0,800.0,1,0,0
Dell,Ultrabook,15.6,Intel,1.9,8,Intel,Windows 10,1.88,1920,1080,0,0,1,0,0,0,1298.0,1,0,0
HP,Notebook,17.3,Intel,1.6,8,Nvidia,Windows 10,2.5,1920,1080,0,0,1,0,0,0,896.0,0,1,0
Chuwi,Notebook,15.6,Intel,1.44,4,Intel,Windows 10,1.89,1920,1080,0,0,1,0,0,0,244.99,0,0,1
Asus,Notebook,14.0,AMD,1.5,2,AMD,Windows 10,1.65,1366,768,0,0,0,0,0,1,199.0,0,0,1
HP,Notebook,17.3,AMD,2.5,4,AMD,Windows 10,2.71,1920,1080,0,0,1,0,0,0,439.0,0,1,0
Dell,Ultrabook,13.3,Intel,1.8,16,Intel,Windows 10,1.2,3200,1800,1,0,0,0,1,0,1869.0,1,0,0
Apple,Ultrabook,13.3,Intel,1.6,8,Intel,Mac OS X,1.35,1440,900,0,0,0,0,0,1,998.0,0,0,1
Lenovo,Notebook,14.0,Intel,1.1,4,Intel,Windows 10,1.44,1366,768,0,0,0,0,0,1,249.0,0,0,1
Acer,Notebook,15.6,Intel,2.7,4,Intel,Linux,2.1,1366,768,0,0,0,0,0,1,367.0,0,1,0
Dell,Notebook,17.3,Intel,1.6,8,AMD,Windows 10,2.8,1920,1080,0,1,0,0,0,0,979.0,1,1,0
HP,Notebook,15.6,Intel,2.5,4,Intel,Windows 10,1.86,1366,768,0,0,0,0,0,1,488.69,0,1,0
HP,Notebook,15.6,Intel,1.6,8,Nvidia,Windows 10,2.1,1920,1080,0,0,1,0,0,0,879.0,1,0,0
Asus,Notebook,15.6,Intel,2.0,4,Intel,Linux,2.0,1920,1080,0,0,1,0,0,0,389.0,0,1,0
